ID,pKa_pred,pKa_real
1fdq,6.833,7.270
1fe3,7.123,7.330
1ff1,4.856,4.920
1fhr,4.086,4.000
1fig,6.246,6.220
1fj4,4.952,4.590
1fl6,7.186,7.430
1flm,9.212,9.370
1fmb,10.077,10.000
1fpp,7.406,8.000
1fpy,5.547,6.000
1fq4,6.670,6.400
1fq6,7.806,7.860
1fq7,5.405,5.430
1fq8,5.930,6.030
1fw0,5.511,5.430
1fwe,5.712,5.600
1fwu,3.908,3.700
1fwv,3.823,3.720
1g1e,7.597,7.540
1g2m,7.404,7.400
1g3b,5.452,5.740
1g3c,5.715,5.800
1g3f,6.405,6.370
1g42,3.420,3.010
1g4j,8.825,8.700
1g50,6.287,6.280
1g5f,2.767,2.640
1g6r,4.262,4.270
1g6s,4.948,5.150
1g7p,7.194,7.050
1g9r,6.135,5.700
1g9s,3.544,3.610
1g9t,3.340,3.280
1ga8,1.720,1.800
1gah,11.518,12.000
1gbq,2.278,2.460
1gbt,2.337,2.000
1gca,5.916,6.700
1gcz,4.946,5.130
1gfz,3.966,4.000
1ggn,5.146,5.510
1gi6,6.249,6.220
1gi8,4.770,5.050
1gi9,4.930,5.220
1gj4,3.944,4.070
1gj5,4.618,4.960
1gj7,8.325,7.890
1gj8,6.607,6.960
1gja,5.586,5.420
1gjb,6.115,6.350
1gjd,4.970,5.220
1gni,7.998,8.070
1gnj,7.121,7.040
1gny,4.019,4.140
1gpy,4.816,4.700
1gqs,6.044,6.300
1gt1,5.905,6.000
1gt3,6.177,6.460
1gt4,6.104,6.520
1gt5,5.985,6.100
1gu1,4.361,4.520
1gu3,4.630,4.320
1gui,6.368,6.280
1guw,5.984,5.720
1gux,6.870,6.960
1gwm,4.212,4.100
1gww,3.451,3.590
1gx0,3.803,4.220
1gx4,3.972,4.280
1gz3,3.849,3.700
1gz4,3.470,3.700
1gz9,3.599,3.510
1gzc,3.625,3.490
1gzv,6.341,6.570
1h0r,4.166,3.700
1h1d,8.006,8.220
1h1h,5.182,5.220
1h1p,4.876,4.920
1h24,5.997,6.300
1h25,5.900,5.740
1h26,5.870,5.540
1h27,5.465,5.600
1h28,6.498,6.520
1h2u,7.976,7.890
1h3h,6.548,6.660
1h4n,4.489,4.920
1h60,4.437,4.700
1h61,4.341,4.890
1h62,4.476,4.770
1h6e,6.416,6.150
1h79,4.638,4.890
1h7a,4.403,4.720
1h8l,7.885,7.470
1h8s,5.902,5.810
1h9z,5.461,5.420
1ha2,5.634,5.540
1hdt,7.871,7.760
1hef,8.829,9.000
1heg,8.177,7.740
1hge,2.379,2.270
1hgi,2.569,2.680
1hgj,1.774,1.660
1hiv,8.873,9.000
1hiy,3.175,3.080
1hk1,5.591,5.640
1hk2,6.520,6.770
1hk3,6.408,6.590
1hk5,4.939,5.240
1hlf,5.946,5.640
1hn2,5.925,6.000
1hp0,6.634,6.700
1hq5,5.853,5.650
1hqf,4.713,5.000
1hqg,3.445,3.000
1hqh,6.025,6.300
1hsg,9.641,9.420
1hti,5.231,5.130
1hv5,8.145,8.300
1i00,6.220,6.340
1i3z,7.026,6.880
1i41,4.600,4.570
1i43,3.591,3.700
1i48,5.921,5.700
1i5d,8.093,8.000
1i5h,4.383,4.280
1i6v,5.133,5.000
1i80,6.018,6.410
1i8h,4.405,4.540
1i8i,8.046,7.660
1i9l,8.762,8.480
1i9m,8.417,8.480
1i9o,8.467,8.420
1i9q,8.654,8.410
1ibg,8.263,8.550
1icj,2.064,2.220
1ih0,5.258,5.000
1iht,7.792,8.460
1ihy,3.668,3.740
1iig,1.770,1.570
1ilh,7.798,7.390
1ilq,4.858,4.890
1imx,3.331,3.520
1ind,10.164,10.050
1iq1,7.633,7.460
1irs,5.233,5.220
1is0,6.822,7.000
1iup,2.971,2.540
1iwq,8.360,8.060
1j07,7.340,7.680
1j15,3.945,3.840
1j19,8.087,7.790
1j4k,4.273,4.000
1j4p,5.155,4.990
1j4q,6.513,6.440
1j5i,3.675,3.640
1j7z,8.031,7.700
1j80,6.533,6.520
1j81,7.152,7.100
1jd0,8.576,8.240
1jd5,6.465,6.620
1jd6,7.494,7.390
1jfh,2.026,2.050
1jh1,4.690,4.390
1jif,6.551,6.200
1jjk,11.027,11.060
1jm4,5.062,5.000
1jmi,6.015,6.060
1jmq,4.526,4.400
1jn2,4.324,4.090
1joc,4.624,4.620
1jq9,8.018,8.450
1jqd,5.331,5.160
1jqe,6.929,6.440
1jr1,8.219,8.220
1jt1,3.341,3.400
1jtq,8.061,8.070
1juj,6.968,6.960
1jut,7.239,7.320
1juy,7.635,7.660
1jwm,3.736,3.570
1jws,4.994,4.850
1jwt,7.787,7.850
1jwu,5.293,5.340
1jyc,4.492,4.340
1k03,5.561,6.000
1k06,5.256,5.340
1k08,5.218,5.340
1k2v,4.668,4.440
1k3n,5.240,4.990
1k3q,6.470,6.520
1k9q,3.160,3.150
1k9r,3.287,3.300
1ka7,6.579,6.220
1kc5,7.521,7.000
1kcs,6.990,7.000
1kf0,2.753,2.550
1kf6,7.101,6.700
1kfy,5.308,5.280
1kll,4.777,5.200
1kqb,4.306,4.000
1kr3,4.852,5.000
1kti,3.435,3.430
1kv2,10.057,10.000
1l0a,4.737,4.620
1l2s,5.029,4.590
1l2z,3.765,3.690
1l5q,3.872,3.970
1l5r,4.705,4.770
1l5s,3.156,3.260
1l6m,8.104,8.100
1l7x,4.031,4.040
1lb6,4.047,4.080
1lcj,9.077,9.000
1leg,8.598,7.950
1lek,8.917,8.890
1lf3,7.520,7.000
1lf9,11.816,12.000
1lfo,6.419,6.700
1lhv,8.600,8.910
1lhw,8.740,9.080
1lkx,4.835,5.150
1ll4,7.304,7.220
1los,7.346,7.190
1lox,5.354,5.520
1lq2,8.886,8.770
1lqd,7.938,8.050
1lrt,5.477,5.640
1lv8,5.572,5.460
1lvc,6.068,6.000
1lvk,6.038,5.920
1lxf,4.128,4.100
1lxh,7.798,7.190
1lzo,4.203,4.540
1m13,7.191,7.570
1m21,6.606,6.520
1m6p,5.426,5.100
1m74,6.761,7.000
1m9n,6.913,6.920
1mau,11.856,11.300
1maw,1.138,1.100
1mcz,2.951,3.000
1mdl,3.220,3.090
1me3,6.693,7.190
1me4,6.397,6.840
1me7,7.000,7.190
1me8,6.873,7.190
1meu,5.893,6.100
1mf4,8.365,7.990
1mfg,4.469,4.300
1mhw,7.467,7.350
1mj7,8.686,8.350
1ml1,4.603,4.280
1mmp,5.845,6.070
1mn9,4.748,4.620
1mpa,8.192,8.040
1mq1,6.507,6.590
1ms0,2.518,2.910
1mto,6.944,6.960
1mui,11.531,11.890
1mv0,4.233,4.030
1mwn,6.740,6.700
1mx1,3.742,4.000
1mxl,3.994,3.810
1my2,7.421,7.770
1n1t,3.820,3.850
1n1v,3.944,3.850
1n3w,6.830,6.960
1n3z,4.333,4.200
1n43,11.143,10.550
1n4m,6.702,6.720
1n5z,4.357,4.360
1n7i,6.556,6.590
1n7j,6.147,6.430
1n7m,5.941,5.710
1n8u,5.782,6.030
1n8v,5.793,6.030
1n9m,11.083,10.960
1nax,6.754,6.430
1nde,8.042,7.820
1ndj,12.571,12.160
1nfs,10.184,9.920
1ngw,7.684,7.680
1nhg,7.620,7.300
1nhv,5.740,5.660
1nhw,5.419,4.840
1nj1,7.957,7.600
1nj5,7.485,7.300
1njb,6.018,5.800
1njf,6.531,6.210
1njj,1.930,2.100
1nlo,5.514,5.470
1nlp,4.899,4.960
1nlt,4.984,4.920
1nms,7.036,6.700
1nnb,4.903,5.000
1nnu,6.806,6.820
1noi,2.999,3.150
1noj,3.255,3.150
1nok,3.106,3.150
1nox,7.132,7.050
1ntk,10.567,10.490
1nu1,6.827,7.190
1nu3,4.137,4.000
1nzl,7.405,7.150
1nzv,6.539,6.400
1o0o,4.885,5.100
1o2g,5.881,6.120
1o2k,6.845,6.920
1o2p,5.254,4.850
1o2s,5.480,5.470
1o2t,7.812,7.850
1o2u,5.980,5.850
1o2v,5.529,5.850
1o2x,5.665,5.850
1o2y,5.578,5.850
1o32,5.829,5.740
1o34,5.628,5.740
1o37,6.915,6.820
1o39,6.922,7.130
1o3b,7.019,7.130
1o3c,7.132,7.130
1o3e,7.923,7.960
1o3g,8.112,7.960
1o3h,7.394,7.300
1o3k,6.870,6.770
1o3p,6.959,6.660
1o5f,6.071,6.070
1o5p,10.523,10.000
1o6i,3.261,3.190
1o8b,2.536,2.680
1o9d,5.869,5.600
1o9e,4.497,4.180
1o9k,6.201,6.470
1oai,4.460,5.000
1oay,5.819,5.920
1obx,5.872,5.720
1ocn,6.159,6.390
1ody,8.347,8.100
1oe7,5.646,5.520
1oeb,7.206,6.930
1ofz,5.124,4.620
1oh4,3.966,3.740
1oim,5.536,5.320
1oj5,6.330,6.100
1ok7,6.057,5.920
1oko,5.027,4.540
1om2,5.011,4.700
1om9,4.133,4.150
1opi,7.286,7.300
1oqp,7.682,7.300
1oth,6.793,7.000
1ov3,6.457,6.720
1ow4,6.127,5.680
1ow6,5.375,5.400
1ow7,5.255,5.400
1ow8,5.805,5.400
1owd,8.201,8.200
1owi,7.570,7.550
1owj,7.306,7.320
1owk,7.426,7.630
1ozv,1.746,1.440
1p0y,1.244,1.000
1p17,2.905,2.820
1p28,5.148,5.420
1p2g,2.348,2.130
1p4r,8.417,8.100
1p4u,5.306,5.300
1p6d,2.714,2.940
1p6e,2.986,2.920
1p7m,4.696,4.380
1p93,7.872,7.720
1pbk,9.311,9.050
1pcg,7.934,7.600
1pdq,5.401,5.300
1pf7,10.898,10.140
1pf8,7.208,7.510
1pg2,5.002,4.960
1pip,4.812,5.000
1pk0,7.435,7.570
1ppx,7.329,7.280
1pq3,7.605,7.520
1pr1,5.443,5.300
1prl,4.148,4.230
1prm,4.271,4.230
1pu7,3.149,3.100
1pu8,3.144,3.100
1pun,7.211,7.280
1puq,7.097,7.280
1pus,6.941,7.280
1pwp,5.993,6.300
1pwq,5.051,4.960
1pwu,5.690,5.680
1pwy,4.129,4.050
1pxm,7.649,7.220
1pyg,5.465,5.520
1pzo,3.600,3.320
1q1m,5.281,5.160
1q4l,7.745,7.400
1q4w,6.307,6.460
1q4x,9.692,9.480
1q5l,3.252,3.220
1q63,5.856,5.850
1q66,5.743,5.770
1q83,12.134,12.390
1q95,7.463,7.570
1q9d,4.239,4.600
1qaq,4.459,4.740
1qca,5.133,5.270
1qiw,8.277,7.740
1qja,6.536,6.380
1qjb,6.784,6.380
1qku,9.567,9.590
1qm4,4.779,4.300
1qm5,5.759,5.820
1qng,7.710,7.890
1qnh,5.973,6.060
1qon,8.784,8.960
1qpb,1.638,1.360
1qq9,1.968,2.060
1qsc,3.882,3.680
1qvt,4.383,4.380
1qvu,4.303,4.460
1qw7,3.096,3.600
1qwe,5.835,5.920
1qwf,6.349,6.350
1qy5,6.306,6.700
1r0x,4.129,3.830
1r10,3.807,3.830
1r17,6.321,6.420
1r1i,8.827,8.540
1r2b,4.968,4.940
1r4w,3.897,4.050
1r5n,5.545,5.420
1r6n,7.189,7.400
1r6z,5.095,5.000
1rbo,12.506,12.720
1rdi,2.162,2.060
1rdj,1.712,1.660
1rdl,2.193,2.240
1rdn,1.820,1.840
1rdt,6.430,6.700
1re8,8.338,9.520
1rej,8.544,8.300
1rek,6.618,6.700
1rev,7.270,7.480
1rgk,4.061,4.310
1rgl,4.392,4.430
1rin,3.536,3.150
1rlp,4.987,5.100
1rlq,4.949,5.100
1rm8,9.552,9.000
1ro7,3.014,3.180
1rpa,5.992,6.000
1rst,4.553,4.430
1rt9,10.794,10.250
1ru1,4.601,4.740
1ru2,6.265,6.490
1rww,8.108,8.300
1rwx,7.745,7.370
1ryf,8.411,8.800
1ryh,7.805,7.560
1rzx,4.209,4.100
1s26,3.149,3.070
1s3k,6.181,6.620
1s4d,6.638,6.490
1s50,7.057,7.200
1s5q,5.265,5.280
1s63,9.837,9.050
1s64,8.077,8.400
1sbr,5.039,5.000
1sc8,7.598,7.440
1sfi,9.807,10.000
1shc,7.316,7.280
1sle,6.195,6.170
1slg,4.239,3.900
1sm2,7.731,8.000
1sme,10.977,11.220
1sqc,6.383,6.850
1sqn,9.787,9.400
1sqq,7.909,7.820
1sre,4.038,3.850
1sri,5.918,6.080
1std,10.387,10.330
1stp,14.061,13.400
1sts,5.118,5.000
1sw1,7.180,7.300
1swi,3.060,3.100
1swk,12.240,12.000
1swn,12.114,12.000
1swp,11.790,11.000
1syo,8.842,9.000
1sz0,8.998,9.000
1t08,5.632,5.510
1t13,7.729,7.380
1t29,6.283,6.050
1t2v,6.409,6.400
1t37,4.405,4.350
1t3t,4.628,4.960
1t4e,7.007,7.100
1t4s,2.285,2.440
1t5a,4.842,4.620
1t69,6.116,6.320
1t7r,6.205,5.960
1ta2,8.117,8.520
1tcw,6.274,6.020
1tfq,7.532,7.920
1tft,8.308,8.300
1thl,6.517,6.420
1tka,5.746,6.100
1tkc,5.090,4.850
1tl7,8.255,7.920
1tmb,6.800,6.740
1tmm,6.791,6.640
1tnj,2.084,1.960
1tnk,1.609,1.490
1tnl,1.855,1.880
1tog,3.212,3.220
1toi,3.911,4.050
1toj,3.381,3.390
1tok,2.177,2.470
1tpz,5.973,6.190
1tr7,6.828,6.820
1tsi,3.460,3.480
1tsl,6.159,6.150
1tsm,6.002,6.000
1tsv,4.863,4.800
1tuf,4.061,4.050
1tvo,7.101,6.850
1tyr,6.978,7.000
1tys,5.461,5.490
1u0h,7.227,6.960
1u2r,5.408,5.410
1u2y,2.006,1.740
1u65,7.314,7.580
1u6q,5.845,5.880
1u8t,4.161,4.260
1udt,9.905,9.300
1udu,8.981,9.050
1uef,5.749,5.490
1ugp,3.064,2.890
1ugw,3.631,3.090
1ugy,3.875,3.720
1uh1,5.690,5.480
1uj0,4.712,4.570
1uj6,2.826,3.050
1ujj,6.348,6.100
1ujk,6.709,6.570
1ukh,6.588,6.380
1ule,5.917,5.920
1ulg,4.630,4.210
1umw,6.659,6.550
1upk,6.263,6.400
1urg,5.517,5.820
1utc,4.724,4.550
1uti,5.863,5.620
1utp,1.598,1.440
1utr,8.035,8.000
1uvs,6.056,5.400
1ux7,2.789,3.000
1uxa,2.454,2.300
1uxb,2.276,2.150
1uys,3.926,3.600
1v0m,4.852,5.100
1v0n,7.606,7.550
1v2m,4.755,4.290
1v2p,4.861,4.730
1v2q,4.323,4.130
1v2v,3.460,3.370
1v41,4.394,4.700
1v79,7.744,7.890
1vcu,3.591,3.850
1vea,7.445,7.520
1vj6,5.513,5.100
1vj9,7.613,7.550
1vja,7.893,7.700
1vjc,3.926,3.580
1vjd,3.584,3.540
1vkj,4.845,4.850
1vot,6.054,6.600
1vr1,7.293,6.890
1vwf,6.613,6.510
1vwl,5.931,5.630
1vyj,6.905,7.000
1vyq,5.342,5.300
1w0y,6.835,6.420
1w10,7.481,7.550
1w12,7.793,7.850
1w14,9.076,8.520
1w1d,6.756,6.520
1w1g,7.717,7.680
1w25,6.393,6.300
1w2g,4.409,4.570
1w2h,5.252,5.000
1w2k,6.589,6.460
1w2x,5.159,5.140
1w31,3.369,3.600
1w6h,8.829,9.300
1w6y,5.375,5.360
1w7x,8.909,8.400
1w8l,1.101,0.490
1w8m,1.642,1.600
1wc6,4.129,4.000
1wdq,1.936,1.980
1wdr,2.586,2.520
1we2,4.322,4.360
1wkm,1.097,0.820
1ws5,3.900,3.030
1wva,6.586,6.570
1wvc,4.193,4.460
1x07,3.246,3.280
1x6u,3.025,3.220
1x7a,8.053,7.890
1x8s,5.609,5.100
1x9d,4.353,3.960
1xa5,6.909,6.500
1xb7,6.319,6.220
1xbb,5.126,5.300
1xfv,3.782,3.890
1xge,4.707,4.680
1xgj,6.366,6.000
1xn2,10.633,10.520
1xn3,7.505,7.400
1xr8,6.963,6.700
1xs7,7.259,7.600
1xsc,4.400,4.300
1xt3,5.742,5.700
1xxe,5.450,5.410
1xxh,6.434,6.110
1xxi,5.812,5.520
1xz8,4.466,4.520
1xzx,10.187,10.220
1y0x,8.670,8.700
1y19,6.846,6.770
1y1m,1.883,1.820
1y2a,7.529,7.340
1y2f,4.448,4.920
1y2g,3.974,4.080
1y3a,5.218,5.410
1y3g,7.309,7.400
1y3w,6.201,5.770
1y3y,5.345,5.640
1y4z,7.598,7.240
1y8o,5.539,5.890
1y8p,6.385,6.080
1y98,5.583,5.430
1ya4,4.964,4.820
1ybg,5.132,4.800
1ybo,4.129,3.800
1yci,4.067,4.080
1ycm,7.859,8.000
1yid,4.402,5.000
1ykp,3.043,2.960
1yon,4.227,4.210
1ysg,3.631,3.520
1ysi,7.603,7.440
1yvh,7.654,7.370
1ywh,7.813,7.790
1ywi,3.637,3.430
1yxd,5.461,5.300
1yy6,6.503,6.070
1yyr,5.774,6.290
1yys,6.285,6.330
1yz3,9.118,8.810
1z1r,9.316,9.220
1z2b,6.613,6.400
1z3j,8.131,8.000
1z3t,3.698,3.940
1z3v,3.969,4.110
1z4n,4.397,4.520
1z6d,2.188,2.340
1ze8,8.026,7.680
1zfk,8.123,7.920
1zhk,4.759,4.450
1zhl,5.290,5.000
1zky,6.376,6.250
1zls,7.102,7.000
1zlu,6.781,7.000
1zlv,5.879,6.150
1zlw,5.431,5.890
1zm6,4.500,4.350
1zsb,1.139,0.600
1zsh,6.983,7.070
1zsr,9.678,9.820
1zub,6.560,6.570
1zxv,5.911,6.100
1zyr,5.819,5.740
220l,3.248,3.400
223l,3.069,3.400
2a0t,5.078,4.820
2a25,4.565,4.620
2a29,2.811,2.850
2a2g,6.916,7.000
2a4w,8.370,8.290
2a58,4.912,4.920
2aa6,9.717,9.410
2ad5,4.102,3.960
2ada,12.197,13.000
2adm,5.567,5.700
2adu,7.232,7.740
2aeb,8.658,8.300
2ael,6.116,6.290
2aez,2.730,2.460
2agv,7.265,7.700
2amv,8.384,8.800
2an5,5.426,5.680
2anl,6.873,6.960
2ao6,9.147,9.280
2aof,4.540,4.550
2aoh,4.522,4.440
2aoi,4.150,4.010
2aoj,4.435,4.660
2aou,7.187,7.730
2aov,6.849,7.040
2aow,7.221,7.420
2aox,7.221,7.420
2ate,6.666,7.070
2avi,15.141,15.220
2avv,9.219,9.260
2aw1,8.022,7.370
2ax6,7.318,7.570
2ay1,2.229,2.290
2ay2,1.867,1.880
2ay3,3.430,3.550
2ay4,2.852,2.910
2ay5,2.554,2.590
2ay6,2.928,3.110
2ay7,2.180,2.300
2ay8,2.098,2.240
2ay9,2.243,2.160
2az5,5.709,5.270
2azm,5.685,5.660
2b17,5.989,6.210
2b1q,1.834,1.590
2b1r,1.141,1.000
2b1v,5.658,5.740
2b2v,4.822,4.770
2b4m,3.660,3.530
2b7f,7.242,7.300
2bj4,4.345,4.470
2bjm,3.681,3.700
2bmg,7.513,7.740
2bmv,2.217,2.000
2bmz,3.394,3.700
2bow,3.701,4.000
2bpx,9.321,9.400
2bq6,10.288,10.150
2bqw,8.910,8.520
2br6,2.661,2.960
2bvx,9.069,8.700
2bxt,8.876,8.520
2bxu,7.224,7.150
2byp,9.031,9.060
2bz8,5.777,5.600
2bzz,6.088,6.430
2c02,3.725,4.040
2c1n,4.185,4.110
2c1q,13.214,13.000
2c3j,6.018,6.180
2c3k,7.389,7.590
2c4v,2.577,2.600
2c4w,4.832,4.700
2c57,3.488,3.430
2c6n,6.787,6.880
2c6o,8.507,8.220
2c9b,5.381,5.540
2c9d,6.688,6.320
2cem,7.835,7.920
2ceo,9.753,10.000
2cfd,7.176,7.490
2cfg,7.286,7.440
2ci9,7.215,7.220
2cia,6.723,6.430
2cji,7.955,8.220
2clf,3.582,3.550
2cll,4.346,4.300
2clm,3.797,3.550
2clo,4.103,4.060
2clv,8.035,7.880
2cmo,6.936,6.400
2co0,5.448,5.480
2csm,4.252,4.300
2cvd,6.048,6.100
2d06,4.168,4.080
2d2v,1.092,1.000
2d41,7.298,6.820
2df6,6.337,5.980
2dua,4.869,4.770
2dwx,3.793,3.740
2e5y,5.929,5.850
2e7l,7.300,7.540
2e9v,8.284,7.900
2eg7,6.083,5.890
2eg8,4.521,4.500
2eh8,8.024,7.960
2emt,6.780,6.700
2er0,6.217,6.380
2er6,7.532,7.220
2er9,7.145,7.400
2esm,6.716,6.280
2etk,6.988,6.820
2etr,7.381,6.820
2eum,6.580,6.700
2exg,4.350,4.300
2ez5,5.748,5.520
2f01,13.639,13.000
2f0z,4.739,4.770
2f10,3.550,3.480
2f14,9.271,9.190
2f5t,4.649,5.170
2f6j,5.733,5.570
2f8i,7.085,7.260
2f9b,6.513,6.520
2f9v,8.449,7.820
2fah,1.521,1.300
2fai,6.297,6.240
2fb8,9.845,9.800
2fci,7.369,7.150
2ff1,8.248,8.210
2ff2,8.321,8.210
2fgh,6.220,6.550
2fgi,7.806,7.340
2fkf,3.253,2.920
2fl5,8.997,8.740
2flb,5.494,5.740
2flh,3.870,3.970
2flu,8.443,7.700
2fo4,7.566,7.220
2fou,7.501,7.100
2fov,7.630,7.550
2foy,7.216,6.920
2fr3,8.734,8.700
2fr8,3.091,3.150
2frd,4.246,4.540
2fsa,5.437,5.300
2fsv,4.560,4.600
2fts,7.427,7.050
2fuu,5.441,5.570
2fv5,11.943,11.700
2fwp,2.977,2.920
2fx7,7.684,7.700
2fx8,6.296,6.520
2fx9,7.971,7.770
2fys,4.227,4.360
2fzz,10.802,10.520
2g00,9.811,9.740
2g2r,8.159,7.890
2g6q,5.860,5.820
2g71,7.583,7.460
2g72,6.755,6.500
2g78,6.889,6.920
2g79,6.564,6.920
2g83,5.908,5.920
2g8n,7.013,7.200
2g8r,3.871,3.990
2g96,4.353,4.280
2g97,6.736,6.820
2gbi,8.573,8.520
2gej,6.693,6.640
2gek,7.710,7.520
2gfa,5.126,4.980
2gfd,6.300,6.280
2gh7,13.574,13.000
2gtv,5.237,5.150
2gvd,7.215,7.000
2gvf,8.133,7.600
2gvz,7.008,6.890
2h13,5.433,5.350
2h23,4.949,4.670
2h2d,5.505,5.370
2h2e,3.058,3.000
2h2g,5.126,5.040
2h2h,4.918,4.980
2h2j,5.273,5.380
2h5a,5.011,5.100
2h5d,8.763,8.190
2h5e,8.250,8.250
2h6k,4.957,5.060
2h6q,4.846,5.110
2h9m,4.402,4.460
2h9n,3.867,3.940
2h9p,3.818,3.720
2ha0,4.313,4.430
2ha4,3.379,2.700
2ha5,4.267,4.340
2ha7,3.740,3.360
2hd6,8.109,7.800
2hdq,1.433,1.400
2hdr,1.960,1.720
2hds,2.065,2.000
2hdu,2.404,2.300
2hdx,6.128,6.260
2hf8,5.194,5.470
2hh5,6.968,7.490
2hj4,5.357,5.370
2hmh,7.032,7.150
2hmw,7.432,7.700
2hob,5.787,5.720
2hpa,4.756,4.600
2hqu,5.657,5.140
2hr6,4.490,4.820
2hrm,3.529,3.560
2hrp,8.661,8.300
2hs2,8.432,8.310
2hug,5.932,5.970
2hvc,9.146,8.820
2hw2,2.860,2.970
2hwg,3.803,3.550
2i0d,12.246,12.100
2i0g,10.244,9.720
2i0j,8.875,8.570
2i2b,2.552,2.440
2i3v,6.680,6.550
2i3z,8.669,8.700
2i4p,5.694,5.700
2i4t,9.144,9.000
2i72,7.273,7.430
2idk,5.691,5.540
2ien,9.201,9.000
